StimID,com,pop,angle_deg,angle_bin,distance
1,2,-1,333.434948822922,11,2.23606797749979
2,-1,2,116.56505117707799,3,2.23606797749979
3,-2,-2,225.0,7,2.8284271247461903
4,1,-2,296.565051177078,9,2.23606797749979
5,2,0,0.0,0,2.0
6,-2,2,135.0,4,2.8284271247461903
7,-2,0,180.0,6,2.0
8,-1,0,180.0,6,1.0
9,0,-2,270.0,9,2.0
10,1,-1,315.0,10,1.4142135623730951
11,0,2,90.0,3,2.0
12,0,-1,270.0,9,1.0
13,-2,1,153.434948822922,5,2.23606797749979
14,2,2,45.0,1,2.8284271247461903
15,1,2,63.43494882292201,2,2.23606797749979
16,1,1,45.0,1,1.4142135623730951
17,2,-2,315.0,10,2.8284271247461903
18,2,1,26.56505117707799,0,2.23606797749979
19,0,1,90.0,3,1.0
20,-2,-1,206.565051177078,6,2.23606797749979
21,1,0,0.0,0,1.0
22,-1,-1,225.0,7,1.4142135623730951
23,-1,-2,243.43494882292202,8,2.23606797749979
24,-1,1,135.0,4,1.4142135623730951
